date,platform,sum
2014-08-13,android-app,1445362.00000
2015-08-31,ios-app,3200009.00000
2014-08-15,ios-app,2454949.00000
2015-02-25,android-app,2421637.00000
2014-10-07,ios-app,2486091.00000
2015-07-27,ios-app,2993466.00000
2014-12-30,ios-app,3938929.00000
2014-07-20,android-app,1388371.00000
2015-03-31,ios-app,3158851.00000
2015-04-18,ios-app,3177900.00000
2015-08-04,ios-app,2984090.00000
2014-07-18,android-app,1383536.00000
2014-09-27,android-app,1592481.00000
2015-04-16,ios-app,3169163.00000
2014-06-10,android-app,1321754.00000
2015-08-30,android-app,2136436.00000
2014-07-22,android-app,1412083.00000
2015-08-20,android-app,2080119.00000
2015-05-23,android-app,2246775.00000
2014-07-29,android-app,1442706.00000
2015-08-05,ios-app,2983782.00000
2015-05-22,ios-app,3148465.00000
2015-02-07,android-app,2554399.00000
2015-01-07,ios-app,3967448.00000
2014-06-07,ios-app,2303992.00000
2014-12-05,ios-app,3504427.00000
2014-06-09,ios-app,2306864.00000
